contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration
SPY260220C00335000,2026-02-02 19:44:19+00:00,335.0,362.17,348.82,351.58,0.0,0.0,1.0,3,1.8710943945312501,True,REGULAR,USD,call,2026-02-20
SPY260220C00345000,2026-02-02 14:42:12+00:00,345.0,348.01,338.79,341.55,0.0,0.0,2.0,2,1.7695324023437498,True,REGULAR,USD,call,2026-02-20
SPY260220C00350000,2026-02-03 19:25:15+00:00,350.0,337.41,333.79,336.52,0.0,0.0,7.0,12,1.71875140625,True,REGULAR,USD,call,2026-02-20
SPY260220C00365000,2025-11-26 15:41:15+00:00,365.0,316.48,325.28,328.67,0.0,0.0,2.0,2,2.929934315795898,True,REGULAR,USD,call,2026-02-20
SPY260220C00375000,2026-02-11 17:31:44+00:00,375.0,318.79,308.8,311.58,0.0,0.0,1.0,22,1.5878926855468747,True,REGULAR,USD,call,2026-02-20
SPY260220C00385000,2026-01-07 17:33:47+00:00,385.0,310.62,300.16,303.42,0.0,0.0,1.0,6,2.0659228039550777,True,REGULAR,USD,call,2026-02-20
SPY260220C00395000,2026-01-13 20:41:52+00:00,395.0,298.99,288.89,291.64,0.0,0.0,1.0,6,1.5156274218749999,True,REGULAR,USD,call,2026-02-20
SPY260220C00400000,2026-02-12 18:22:04+00:00,400.0,283.35,283.89,286.63,0.0,0.0,5.0,18,1.48047134765625,True,REGULAR,USD,call,2026-02-20
SPY260220C00405000,2026-02-06 15:11:46+00:00,405.0,280.98,278.89,281.69,0.0,0.0,7.0,7,1.46875265625,True,REGULAR,USD,call,2026-02-20
SPY260220C00420000,2026-02-11 19:47:18+00:00,420.0,273.75,263.9,266.7,0.0,0.0,1.0,9,1.3808624707031247,True,REGULAR,USD,call,2026-02-20
SPY260220C00425000,2026-01-30 15:16:08+00:00,425.0,269.1,259.0,261.7,0.0,0.0,1.0,3,1.376956240234375,True,REGULAR,USD,call,2026-02-20
SPY260220C00430000,2026-02-12 17:29:22+00:00,430.0,254.59,255.18,255.37,0.0,0.0,1.0,720,1.3066440917968747,True,REGULAR,USD,call,2026-02-20
SPY260220C00435000,2026-01-30 20:14:53+00:00,435.0,256.2,248.91,251.57,0.0,0.0,2.0,17,1.2568396533203123,True,REGULAR,USD,call,2026-02-20
SPY260220C00440000,2026-02-06 19:43:00+00:00,440.0,249.68,243.94,246.68,0.0,0.0,1.0,5,1.2666052294921872,True,REGULAR,USD,call,2026-02-20
SPY260220C00445000,2026-01-20 15:23:32+00:00,445.0,239.87,238.88,241.68,0.0,0.0,11.0,24,1.2216835791015623,True,REGULAR,USD,call,2026-02-20
SPY260220C00450000,2026-02-11 18:26:34+00:00,450.0,242.59,234.02,236.8,0.0,0.0,196.0,50,1.2519568652343749,True,REGULAR,USD,call,2026-02-20
SPY260220C00455000,2026-02-11 19:25:34+00:00,455.0,239.16,229.03,231.74,0.0,0.0,1.0,21,1.2128945605468748,True,REGULAR,USD,call,2026-02-20
SPY260220C00460000,2026-01-29 16:13:33+00:00,460.0,228.52,223.9,226.7,0.0,0.0,2.0,17,1.1464886425781249,True,REGULAR,USD,call,2026-02-20
SPY260220C00465000,2026-01-29 16:17:02+00:00,465.0,224.15,219.03,221.74,0.0,0.0,4.0,73,1.1547893823242186,True,REGULAR,USD,call,2026-02-20
SPY260220C00470000,2026-02-09 18:42:37+00:00,470.0,225.45,213.91,216.68,0.0,0.0,3.0,7,1.0888717431640624,True,REGULAR,USD,call,2026-02-20
SPY260220C00475000,2026-02-11 19:35:51+00:00,475.0,219.23,208.9,211.7,0.0,0.0,3.0,46,1.0634812451171878,True,REGULAR,USD,call,2026-02-20
SPY260220C00480000,2026-02-06 20:17:54+00:00,480.0,210.23,204.0,206.74,0.0,0.0,2.0,26,1.0644578027343752,True,REGULAR,USD,call,2026-02-20
SPY260220C00485000,2026-02-12 15:18:40+00:00,485.0,208.5,198.96,201.72,0.0,0.0,1.0,8,1.0253954980468751,True,REGULAR,USD,call,2026-02-20
SPY260220C00490000,2026-02-12 20:40:37+00:00,490.0,193.8,193.96,196.62,0.0,0.0,3.0,34,0.9775392871093751,True,REGULAR,USD,call,2026-02-20
SPY260220C00495000,2026-02-13 15:09:21+00:00,495.0,187.24,189.02,191.72,-10.839996,-5.4725347,24.0,50,0.9819337744140625,True,REGULAR,USD,call,2026-02-20
SPY260220C00500000,2026-02-12 18:22:04+00:00,500.0,182.17,183.96,186.73,-1.3500061,-0.73561794,1.0,77,0.946289599609375,True,REGULAR,USD,call,2026-02-20
SPY260220C00505000,2026-02-09 20:50:05+00:00,505.0,189.11,179.04,181.77,0.0,0.0,3.0,9,0.93945373046875,True,REGULAR,USD,call,2026-02-20
SPY260220C00510000,2026-02-10 15:40:56+00:00,510.0,186.47,174.07,176.87,0.0,0.0,2.0,18,0.9321295849609376,True,REGULAR,USD,call,2026-02-20
SPY260220C00515000,2026-02-10 15:39:31+00:00,515.0,181.38,168.99,171.74,0.0,0.0,2.0,21,0.8735364208984374,True,REGULAR,USD,call,2026-02-20
SPY260220C00520000,2026-02-09 20:49:29+00:00,520.0,175.38,163.99,166.69,0.0,0.0,1.0,29,0.8393570751953124,True,REGULAR,USD,call,2026-02-20
SPY260220C00525000,2026-02-12 20:02:53+00:00,525.0,153.49,158.99,161.7,-7.2099915,-4.4866157,1.0,10,0.815431533203125,True,REGULAR,USD,call,2026-02-20
SPY260220C00530000,2026-02-06 20:08:03+00:00,530.0,160.54,153.99,156.75,0.0,0.0,2.0,29,0.79687703125,True,REGULAR,USD,call,2026-02-20
SPY260220C00535000,2026-02-06 15:06:34+00:00,535.0,150.03,149.1,151.82,0.0,0.0,2.0,14,0.795900478515625,True,REGULAR,USD,call,2026-02-20
SPY260220C00540000,2026-02-12 20:52:29+00:00,540.0,141.46,144.11,146.88,0.0,0.0,3.0,35,0.778322529296875,True,REGULAR,USD,call,2026-02-20
SPY260220C00545000,2026-01-30 20:59:19+00:00,545.0,148.14,139.08,141.82,0.0,0.0,1.0,9,0.7412135253906249,True,REGULAR,USD,call,2026-02-20
SPY260220C00550000,2026-02-12 20:49:36+00:00,550.0,132.44,133.99,136.8,0.0,0.0,8.0,71,0.702151416015625,True,REGULAR,USD,call,2026-02-20
