contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration
TSLA260220C00100000,2026-02-12 20:10:06+00:00,100.0,315.58,315.05,317.05,-4.9100037,-1.5320302,4.0,3866,3.9609375976562498,True,REGULAR,USD,call,2026-02-20
TSLA260220C00110000,2025-11-07 14:45:01+00:00,110.0,321.4,325.7,328.3,0.0,0.0,1.0,22,8.587651117095948,True,REGULAR,USD,call,2026-02-20
TSLA260220C00120000,2026-01-16 17:08:41+00:00,120.0,319.63,294.5,298.0,0.0,0.0,90.0,141,3.6464852587890633,True,REGULAR,USD,call,2026-02-20
TSLA260220C00130000,2026-01-16 16:40:36+00:00,130.0,309.87,284.35,288.05,0.0,0.0,5.0,43,3.384767163085937,True,REGULAR,USD,call,2026-02-20
TSLA260220C00140000,2026-01-16 20:53:02+00:00,140.0,299.78,274.55,278.25,0.0,0.0,6.0,29,3.313478278808593,True,REGULAR,USD,call,2026-02-20
TSLA260220C00150000,2026-02-09 20:18:39+00:00,150.0,270.84,264.25,267.9,0.0,0.0,1.0,115,2.896487133789063,True,REGULAR,USD,call,2026-02-20
TSLA260220C00155000,2026-02-03 18:55:17+00:00,155.0,262.16,259.25,262.95,0.0,0.0,4.0,62,2.8281279296874997,True,REGULAR,USD,call,2026-02-20
TSLA260220C00160000,2026-02-12 19:49:26+00:00,160.0,256.32,254.55,258.0,-9.419983,-3.544812,1.0,90,2.8603544116210937,True,REGULAR,USD,call,2026-02-20
TSLA260220C00165000,2026-02-10 14:41:42+00:00,165.0,257.27,249.3,252.95,0.0,0.0,1.0,61,2.6787142407226563,True,REGULAR,USD,call,2026-02-20
TSLA260220C00170000,2026-02-10 15:32:21+00:00,170.0,254.61,244.4,248.0,0.0,0.0,1.0,67,2.646487758789063,True,REGULAR,USD,call,2026-02-20
TSLA260220C00175000,2026-01-28 15:08:58+00:00,175.0,262.03,239.25,243.05,0.0,0.0,1.0,73,2.5361364721679687,True,REGULAR,USD,call,2026-02-20
TSLA260220C00180000,2026-02-06 18:49:57+00:00,180.0,232.96,234.6,238.25,0.0,0.0,15.0,401,2.6093784765625,True,REGULAR,USD,call,2026-02-20
TSLA260220C00185000,2026-02-12 14:30:01+00:00,185.0,244.92,229.6,233.05,6.4799957,2.717663,1.0,156,2.4824256689453126,True,REGULAR,USD,call,2026-02-20
TSLA260220C00190000,2026-02-11 15:43:31+00:00,190.0,233.71,224.5,227.95,0.0,0.0,5.0,119,2.355472861328124,True,REGULAR,USD,call,2026-02-20
TSLA260220C00195000,2026-02-05 18:06:39+00:00,195.0,206.99,219.6,223.1,0.0,0.0,2.0,296,2.346195540771484,True,REGULAR,USD,call,2026-02-20
TSLA260220C00200000,2026-02-12 20:10:06+00:00,200.0,215.71,215.45,217.1,-11.269989,-4.9651904,10.0,1146,2.2392622143554686,True,REGULAR,USD,call,2026-02-20
TSLA260220C00210000,2026-02-12 17:11:49+00:00,210.0,208.23,204.45,208.1,-7.580002,-3.5123496,3.0,207,2.1035203662109367,True,REGULAR,USD,call,2026-02-20
TSLA260220C00220000,2026-02-12 18:54:51+00:00,220.0,197.32,194.65,198.3,-7.5899963,-3.7040634,8.0,311,2.0546923632812497,True,REGULAR,USD,call,2026-02-20
TSLA260220C00225000,2026-01-23 15:58:58+00:00,225.0,226.45,189.45,193.15,0.0,0.0,5.0,98,1.9218753906250001,True,REGULAR,USD,call,2026-02-20
TSLA260220C00230000,2026-02-12 15:14:54+00:00,230.0,200.0,184.45,188.1,4.2700043,2.1815789,1.0,404,1.8496101269531249,True,REGULAR,USD,call,2026-02-20
