contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,OptionType,Symbol,Stock_Price,Expiry,Data_Date
TSLA260213C00080000,2026-02-11 15:36:30+00:00,80.0,354.02,334.45,336.25,12.329987,3.60853,3.0,1,1.0000000000000003e-05,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00120000,2026-01-30 17:07:29+00:00,120.0,315.52,294.85,297.9,0.0,0.0,2.0,2,6.1562523046874995,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00130000,2026-02-11 15:33:44+00:00,130.0,291.75,284.45,287.5,0.0,0.0,1.0,1,7.978515651855468,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00140000,2026-02-12 16:50:23+00:00,140.0,279.29,274.45,277.5,21.529999,8.352731,6.0,6,7.500000625,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00150000,2026-02-12 14:58:48+00:00,150.0,279.36,263.85,266.95,7.319977,2.690772,2.0,10,6.437501953125,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00160000,2026-02-12 14:56:32+00:00,160.0,269.9,254.85,257.95,6.5,2.4677298,1.0,1,4.898441376953125,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00170000,2026-02-06 15:54:40+00:00,170.0,239.77,244.45,247.55,0.0,0.0,1.0,1,6.2968771289062495,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00180000,2026-02-11 15:36:30+00:00,180.0,241.71,234.3,237.4,0.0,0.0,1.0,29,5.806643366699219,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00190000,2026-02-04 15:51:17+00:00,190.0,223.34,224.45,227.55,0.0,0.0,1.0,1,5.5820342724609375,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00200000,2026-02-12 14:58:48+00:00,200.0,229.39,213.85,217.0,6.2700043,2.810149,2.0,54,4.794925881347655,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00210000,2026-02-12 14:56:32+00:00,210.0,219.94,204.15,207.85,6.5,3.0453522,2.0,9,5.127933277587891,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00220000,2026-02-12 18:54:51+00:00,220.0,197.17,194.35,197.4,-5.300003,-2.6176732,5.0,10,4.541019948730468,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00230000,2026-02-12 16:33:01+00:00,230.0,189.0,184.5,187.55,-4.869995,-2.51199,3.0,14,4.353520183105467,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00240000,2026-02-11 16:23:16+00:00,240.0,186.45,174.5,177.55,0.0,0.0,2.0,33,4.0781299023437505,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00250000,2026-02-12 18:40:40+00:00,250.0,167.07,163.65,167.15,-9.779999,-5.5301094,3.0,13,3.572266694335937,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00255000,2026-02-12 18:34:05+00:00,255.0,161.41,159.5,162.55,-10.2599945,-5.97658,11.0,5,3.6845711010742193,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00260000,2026-02-11 18:55:45+00:00,260.0,165.78,153.85,157.05,0.0,0.0,8.0,3,3.263673715820312,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00265000,2026-02-11 19:27:14+00:00,265.0,162.74,149.9,152.95,0.0,0.0,1.0,35,2.496097509765625,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00270000,2026-02-12 17:52:55+00:00,270.0,147.1,143.9,147.0,9.630005,7.0051684,2.0,6,3.0000025,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00275000,2026-02-11 15:36:15+00:00,275.0,146.83,139.55,142.45,0.0,0.0,5.0,19,3.1425802685546875,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00280000,2026-02-06 18:19:58+00:00,280.0,133.1,134.5,137.6,0.0,0.0,11.0,50,3.0952171057128903,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00285000,2026-02-12 16:58:34+00:00,285.0,133.39,129.2,132.25,-9.050003,-6.3535542,1.0,56,2.81250296875,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00290000,2026-02-12 17:45:10+00:00,290.0,128.7,124.35,127.45,10.099998,8.516019,4.0,17,2.7968780078125004,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00295000,2026-02-12 15:18:18+00:00,295.0,135.05,119.45,122.5,2.9600067,2.2409015,4.0,14,2.7060579223632812,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00300000,2026-02-12 16:37:14+00:00,300.0,116.05,115.7,117.0,-12.569992,-9.772969,23.0,106,1.71484517578125,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00305000,2026-02-11 15:04:15+00:00,305.0,114.94,109.9,112.75,-9.059998,-7.3064494,6.0,24,1.5625021874999998,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00310000,2026-02-10 18:15:41+00:00,310.0,115.92,104.9,107.45,0.0,0.0,1.0,94,2.355961141357421,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00315000,2026-02-12 15:02:45+00:00,315.0,112.78,99.8,102.45,0.9300003,0.831471,2.0,108,2.249027814941406,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00320000,2026-02-12 16:27:04+00:00,320.0,101.11,95.65,97.1,14.830002,17.188227,1.0,29,1.4570339648437498,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00322500,2026-02-06 15:32:15+00:00,322.5,87.62,92.05,94.95,0.0,0.0,20.0,5,2.090825085449218,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00325000,2026-02-12 19:11:51+00:00,325.0,90.15,89.75,92.45,-13.849998,-13.3173065,2.0,22,2.038579122314453,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00327500,2026-02-09 16:10:19+00:00,327.5,91.95,87.45,89.95,0.0,0.0,,4,1.986328193359375,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00330000,2026-02-10 16:55:49+00:00,330.0,84.98,84.65,87.7,-9.519997,-10.07407,14.0,83,2.0156299609375,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00332500,2026-02-10 14:32:34+00:00,332.5,90.92,82.15,85.0,0.0,0.0,,0,1.8999028442382815,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00335000,2026-02-12 17:42:02+00:00,335.0,83.5,79.95,82.85,5.790001,7.4507804,1.0,30,1.2636755566406248,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00337500,2026-02-09 15:54:51+00:00,337.5,79.3,77.5,80.0,0.0,0.0,,1,1.7968760156249999,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
