contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,OptionType,Symbol,Stock_Price,Expiry,Data_Date,mid_price,IV,Time_Bisect,Time_Newton,Parity_Price,Delta_An,Delta_Num,Gamma_An,Gamma_Num,Vega,Moneyness
TSLA260213C00080000,2026-02-11 15:36:30+00:00,80.0,354.02,334.45,336.25,12.329987,3.60853,3.0,1,1.0000000000000004e-05,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,335.35,0.5,0.03962993621826172,0.00043463706970214844,-0.893590153376195,1.0,0.9999999999990905,0.0,17871.803067523615,0.0,5.202999877929687
TSLA260213C00120000,2026-01-30 17:07:29+00:00,120.0,315.52,294.85,297.9,0.0,0.0,2.0,2,6.1562523046875,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,296.375,0.5,0.03903841972351074,0.0004892349243164062,0.12960988712318056,1.0,0.9999999999990905,0.0,-2592.1977424638953,0.0,3.468666585286458
TSLA260213C00130000,2026-02-11 15:33:44+00:00,130.0,291.75,284.45,287.5,0.0,0.0,1.0,1,7.978515651855468,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,285.975,0.5,0.04260396957397461,0.0003921985626220703,-0.27084010275194714,1.0,0.9999999999990905,0.0,5416.802055038943,0.0,3.2018460787259615
TSLA260213C00140000,2026-02-12 16:50:23+00:00,140.0,279.29,274.45,277.5,21.529999,8.352731,6.0,6,7.500000625,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,275.975,0.5,0.04076123237609863,0.0004050731658935547,-0.2712900926271118,1.0,0.9999999999990905,0.0,5425.801852542236,0.0,2.973142787388393
TSLA260213C00150000,2026-02-12 14:58:48+00:00,150.0,279.36,263.85,266.95,7.319977,2.690772,2.0,10,6.437501953125,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,265.4,0.5,0.05972743034362793,0.0003972053527832031,-0.8467400825022935,1.0,0.9999999999990905,0.0,16934.8016500453,0.0,2.7749332682291667
TSLA260213C00160000,2026-02-12 14:56:32+00:00,160.0,269.9,254.85,257.95,6.5,2.4677298,1.0,1,4.898441376953125,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,256.4,0.5,0.06987714767456055,0.00037598609924316406,0.15280992762254186,1.0,0.9999999999990905,0.0,-3056.1985524514057,0.0,2.6014999389648437
TSLA260213C00170000,2026-02-06 15:54:40+00:00,170.0,239.77,244.45,247.55,0.0,0.0,1.0,1,6.2968771289062495,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,246.0,0.5,0.04213547706604004,0.0004405975341796875,-0.24764006225257162,1.0,0.9999999999990905,0.0,4952.8012450514325,0.0,2.4484705307904413
TSLA260213C00180000,2026-02-11 15:36:30+00:00,180.0,241.71,234.3,237.4,0.0,0.0,1.0,29,5.806643366699219,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,235.85000000000002,0.5,0.03868985176086426,0.0003762245178222656,-0.39809005212771353,1.0,0.9999999999990905,0.0,7961.801042554271,0.0,2.312444390190972
TSLA260213C00190000,2026-02-04 15:51:17+00:00,190.0,223.34,224.45,227.55,0.0,0.0,1.0,1,5.5820342724609375,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,226.0,0.5,0.04407906532287598,0.00045490264892578125,-0.24854004200290092,1.0,0.9999999999990905,0.0,4970.800840058018,0.0,2.190736790707237
TSLA260213C00200000,2026-02-12 14:58:48+00:00,200.0,229.39,213.85,217.0,6.2700043,2.810149,2.0,54,4.794925881347655,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,215.425,0.5,0.04043292999267578,0.00038814544677734375,-0.8239900318780258,1.0,0.9999999999990905,0.0,16479.800637560515,0.0,2.081199951171875
