contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Underlying_Symbol,Underlying_Price_Snapshot,Expiration,Download_Date,Type
TSLA260220C00100000,2026-02-12 20:10:06+00:00,100.0,315.58,319.05,320.85,0.0,0.0,4.0,3866.0,3.406251484375,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00110000,2025-11-07 14:45:01+00:00,110.0,321.4,325.7,328.3,0.0,0.0,1.0,22.0,8.431157074279783,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00120000,2026-01-16 17:08:41+00:00,120.0,319.63,298.2,302.25,0.0,0.0,90.0,141.0,3.566407333984375,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00130000,2026-01-16 16:40:36+00:00,130.0,309.87,288.25,292.1,0.0,0.0,5.0,43.0,3.281251796875,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00140000,2026-01-16 20:53:02+00:00,140.0,299.78,278.35,282.2,0.0,0.0,6.0,29.0,3.201173872070312,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00150000,2026-02-09 20:18:39+00:00,150.0,270.84,267.85,271.7,0.0,0.0,1.0,115.0,3.8002934680175784,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00155000,2026-02-03 18:55:17+00:00,155.0,262.16,263.25,267.1,0.0,0.0,4.0,62.0,2.81250296875,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00160000,2026-02-12 19:49:26+00:00,160.0,256.32,257.85,261.7,0.0,0.0,1.0,91.0,3.5805674548339845,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00165000,2026-02-10 14:41:42+00:00,165.0,257.27,252.95,256.85,0.0,0.0,1.0,61.0,1.96875015625,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00170000,2026-02-13 16:05:39+00:00,170.0,245.52,247.65,251.65,-9.089996,-3.5701647,1.0,67.0,3.357423481445312,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00175000,2026-01-28 15:08:58+00:00,175.0,262.03,243.2,247.05,0.0,0.0,1.0,73.0,2.4335976660156247,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00180000,2026-02-13 16:40:40+00:00,180.0,239.07,237.95,241.65,6.1100006,2.622768,28.0,401.0,3.164552869873047,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00185000,2026-02-12 14:30:01+00:00,185.0,244.92,233.3,237.1,0.0,0.0,1.0,155.0,2.3671915820312495,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00190000,2026-02-11 15:43:31+00:00,190.0,233.71,228.3,232.1,0.0,0.0,5.0,119.0,2.2949261376953123,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00195000,2026-02-05 18:06:39+00:00,195.0,222.2,223.25,227.35,15.209991,7.348177,1.0,296.0,2.306644858398437,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00200000,2026-02-12 20:10:06+00:00,200.0,215.71,218.9,220.95,0.0,0.0,10.0,1144.0,1.7265638671875,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00210000,2026-02-12 17:11:49+00:00,210.0,208.23,208.4,212.05,0.0,0.0,3.0,206.0,2.0468798828125,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00220000,2026-02-12 18:54:51+00:00,220.0,197.32,198.4,202.6,0.0,0.0,8.0,308.0,2.086918845214843,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00225000,2026-01-23 15:58:58+00:00,225.0,226.45,193.25,197.05,0.0,0.0,5.0,98.0,1.8007822460937497,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00230000,2026-02-13 14:52:09+00:00,230.0,184.64,188.2,191.0,-15.360001,-7.68,2.0,405.0,2.151860089111328,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00235000,2026-02-06 14:47:38+00:00,235.0,171.84,182.8,186.35,0.0,0.0,1.0,29.0,2.1870162512207028,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00240000,2026-02-11 16:23:16+00:00,240.0,186.61,178.3,181.25,0.0,0.0,1.0,264.0,2.090336805419921,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00245000,2026-02-10 15:26:18+00:00,245.0,177.76,172.85,176.65,0.0,0.0,1.0,26.0,2.123051567382812,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00250000,2026-02-13 15:20:44+00:00,250.0,165.0,168.8,171.6,-1.6799927,-1.007915,3.0,292.0,1.5566428417968747,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00255000,2026-02-12 14:51:58+00:00,255.0,159.4,163.75,166.6,-14.910004,-8.553728,1.0,92.0,1.486330693359375,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00260000,2026-02-12 19:23:39+00:00,260.0,154.35,158.4,161.3,-1.8299866,-1.1717163,2.0,233.0,1.8408211083984376,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00265000,2026-02-09 16:04:52+00:00,265.0,153.39,152.85,156.85,0.0,0.0,3.0,29.0,1.8955083349609376,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00270000,2026-02-12 17:59:17+00:00,270.0,145.0,148.8,151.35,0.0,0.0,20.0,293.0,1.26172244140625,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00275000,2026-02-12 20:57:35+00:00,275.0,141.22,143.35,146.6,-1.1300049,-0.79382145,1.0,157.0,1.111332568359375,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00280000,2026-02-12 20:12:41+00:00,280.0,132.2,138.95,141.3,-3.4700012,-2.5576777,2.0,260.0,1.203128984375,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00285000,2026-02-12 19:49:26+00:00,285.0,131.85,133.15,136.6,0.37001038,0.28141952,3.0,85.0,1.5952168676757812,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00290000,2026-02-11 15:39:23+00:00,290.0,124.21,128.75,131.3,-8.439995,-6.362605,1.0,283.0,1.0351610742187505,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00295000,2026-02-13 14:38:27+00:00,295.0,119.86,123.25,126.85,-12.460007,-9.416571,2.0,191.0,1.0127002490234376,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00300000,2026-02-13 16:20:06+00:00,300.0,117.25,119.25,121.1,0.15000153,0.12809695,9.0,1461.0,1.0449266503906252,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00305000,2026-02-12 16:30:30+00:00,305.0,115.19,113.35,116.85,0.0,0.0,6.0,175.0,0.95898478515625,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00310000,2026-02-12 20:31:57+00:00,310.0,106.38,108.5,111.35,0.69999695,0.6623741,1.0,647.0,0.7539087109375,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00315000,2026-02-13 16:24:20+00:00,315.0,101.99,104.3,106.55,-10.459999,-9.301911,6.0,67.0,1.001958115234375,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
TSLA260220C00320000,2026-02-12 20:20:04+00:00,320.0,96.22,99.5,101.3,0.0,0.0,14.0,1013.0,0.94726615234375,True,REGULAR,USD,TSLA,419.8900146484375,2026-02-20,2026-02-13 12:51:18,Call
